OID_;CID;RASTERVALU;OID_1;CID_1;RASTERVALU_1;OID_12;CID_12;RASTERVALU_12
;1;216;381;1;1915;381;1;333
;1;244;382;1;2113;382;1;333
;1;240;383;1;1952;383;1;333
;1;210;384;1;2620;384;1;333
;1;244;385;1;2270;385;1;333
;1;243;386;1;2104;386;1;333
;1;250;387;1;1873;387;1;243
;1;225;388;1;2813;388;1;332
;1;238;389;1;2453;389;1;321
;1;250;390;1;1848;390;1;212
;1;249;391;1;1713;391;1;333
;1;221;392;1;2078;392;1;332
;1;219;393;1;1581;393;1;332
;1;220;394;1;2210;394;1;333
;1;179;395;1;3456;395;1;332
;1;206;396;1;3260;396;1;332
;1;241;397;1;2817;397;1;321
;1;248;398;1;1891;398;1;242
;1;250;399;1;1849;399;1;212
;1;195;400;1;3209;400;1;333
;1;235;401;1;2299;401;1;332
;1;221;402;1;2995;402;1;332
;1;222;403;1;1069;403;1;332
;1;229;404;1;2200;404;1;333
;1;250;405;1;1855;405;1;212
;1;215;406;1;3345;406;1;332
;1;173;407;1;2248;407;1;332
;1;193;408;1;1414;408;1;332
;1;210;409;1;2207;409;1;333
;1;222;410;1;2247;410;1;333
;1;223;411;1;2150;411;1;333
;1;242;412;1;1871;412;1;333
;1;171;413;1;2702;413;1;332
;1;247;414;1;1963;414;1;243
;1;247;415;1;2643;415;1;321
;1;250;416;1;1854;416;1;243
;1;250;417;1;1893;417;1;212
;1;201;418;1;1597;418;1;324
;1;223;419;1;3041;419;1;332
;1;250;420;1;1849;420;1;211
;1;212;421;1;2012;421;1;321
;1;250;422;1;1852;422;1;212
;1;199;423;1;2393;423;1;321
;1;191;424;1;2626;424;1;332
;1;249;425;1;2217;425;1;333
;1;248;426;1;2268;426;1;333
;1;246;427;1;2451;427;1;321
;1;203;428;1;1944;428;1;332
;1;249;429;1;2458;429;1;333
;1;250;430;1;1880;430;1;333
;1;178;431;1;2485;431;1;332
;1;240;432;1;3153;432;1;321
;1;250;433;1;1891;433;1;212
;1;237;434;1;2287;434;1;333
;1;245;435;1;2193;435;1;333
;1;240;436;1;2627;436;1;333
;1;229;437;1;2966;437;1;321
;1;249;438;1;2429;438;1;321
;1;240;439;1;2088;439;1;333
;1;193;440;1;2204;440;1;321
;1;228;441;1;1804;441;1;333
;1;239;442;1;2190;442;1;321
;1;243;443;1;2363;443;1;332
;1;202;444;1;2369;444;1;333
;1;227;445;1;2319;445;1;332
;1;216;446;1;2347;446;1;332
;1;239;447;1;1997;447;1;333
;1;237;448;1;2254;448;1;332
;1;250;449;1;1857;449;1;242
;1;250;450;1;1857;450;1;243
;1;222;451;1;3518;451;1;332
;1;219;452;1;2422;452;1;333
;1;192;453;1;2005;453;1;333
;1;218;454;1;2476;454;1;332
;1;215;455;1;3118;455;1;333
;1;209;456;1;2177;456;1;332
;1;230;457;1;2399;457;1;333
;1;236;458;1;2683;458;1;332
;1;213;459;1;2995;459;1;333
;1;250;460;1;1872;460;1;212
;1;247;461;1;2672;461;1;333
;1;215;462;1;2834;462;1;332
;1;248;463;1;2594;463;1;333
;1;250;464;1;1913;464;1;212
;1;244;465;1;2116;465;1;333
;1;237;466;1;2861;466;1;332
;1;250;467;1;1862;467;1;243
;1;248;468;1;2426;468;1;333
;1;250;469;1;1884;469;1;242
;1;250;470;1;1851;470;1;212
;1;241;471;1;2588;471;1;321
;1;222;472;1;2651;472;1;332
;1;221;473;1;1740;473;1;333
;1;250;474;1;1861;474;1;211
;1;233;475;1;2082;475;1;333
;1;208;476;1;2576;476;1;321
;1;209;477;1;2170;477;1;332
;1;227;478;1;2317;478;1;333
;1;237;479;1;2090;479;1;321
;1;250;480;1;1852;480;1;411
;1;197;481;1;2343;481;1;332
;1;234;482;1;2945;482;1;321
;1;250;483;1;1856;483;1;212
;1;201;484;1;2892;484;1;332
;1;212;485;1;1426;485;1;321
;1;233;486;1;2591;486;1;321
;1;241;487;1;1934;487;1;333
;1;236;488;1;2318;488;1;333
;1;234;489;1;1954;489;1;333
;1;250;490;1;1868;490;1;243
;1;247;491;1;3180;491;1;321
;1;248;492;1;1884;492;1;242
;1;245;493;1;3157;493;1;321
;1;247;494;1;3011;494;1;321
;1;227;495;1;2439;495;1;333
;1;250;496;1;1851;496;1;212
;1;241;497;1;1805;497;1;333
;1;250;498;1;1852;498;1;411
;1;237;499;1;2782;499;1;321
;1;235;500;1;2438;500;1;333
;1;250;501;1;1852;501;1;212
;1;248;502;1;2022;502;1;333
;1;214;503;1;2777;503;1;332
;1;242;504;1;1873;504;1;333
;1;211;505;1;2128;505;1;333
;1;242;506;1;2002;506;1;243
;1;221;507;1;2052;507;1;333
;1;239;508;1;2383;508;1;321
;1;246;509;1;2103;509;1;333
;1;182;510;1;3256;510;1;332
;1;232;511;1;2028;511;1;333
;1;216;512;1;1882;512;1;324
;1;179;513;1;1816;513;1;324
;1;170;514;1;1993;514;1;321
;1;248;515;1;1861;515;1;243
;1;250;516;1;1855;516;1;243
;1;250;517;1;2764;517;1;333
;1;174;518;1;1934;518;1;332
;1;250;519;1;1857;519;1;212
;1;188;520;1;3046;520;1;333
;1;226;521;1;2129;521;1;333
;1;250;522;1;1855;522;1;211
;1;243;523;1;1571;523;1;324
;1;230;524;1;2218;524;1;333
;1;141;525;1;3012;525;1;332
;1;210;526;1;2131;526;1;332
;1;244;527;1;3027;527;1;332
;1;210;528;1;2539;528;1;333
;1;239;529;1;2350;529;1;321
;1;244;530;1;2037;530;1;321
;1;234;531;1;1771;531;1;324
;1;207;532;1;2181;532;1;333
;1;224;533;1;2266;533;1;321
;1;240;534;1;2195;534;1;333
;1;235;535;1;2723;535;1;321
;1;204;536;1;1858;536;1;333
;1;229;537;1;2000;537;1;333
;1;231;538;1;1704;538;1;332
;1;221;539;1;3012;539;1;321
;1;173;540;1;2449;540;1;332
;1;234;541;1;2012;541;1;332
;1;181;542;1;2098;542;1;333
;1;226;543;1;2082;543;1;333
;1;250;544;1;1850;544;1;411
;1;245;545;1;3171;545;1;332
;1;191;546;1;2826;546;1;332
;1;250;547;1;1857;547;1;212
;1;221;548;1;1425;548;1;333
;1;242;549;1;2607;549;1;321
;1;221;550;1;2411;550;1;332
;1;245;551;1;2460;551;1;333
;1;250;552;1;1850;552;1;411
;1;246;553;1;2622;553;1;332
;1;192;554;1;2123;554;1;332
;1;237;555;1;2156;555;1;333
;1;225;556;1;3295;556;1;333
;1;206;557;1;2580;557;1;332
;1;241;558;1;1892;558;1;243
;1;222;559;1;2839;559;1;333
;1;214;560;1;2916;560;1;332
;1;220;561;1;1629;561;1;333
;1;250;562;1;1849;562;1;212
;1;245;563;1;2778;563;1;321
;1;239;564;1;2013;564;1;333
;1;250;565;1;1850;565;1;411
;1;239;566;1;1999;566;1;333
;1;250;567;1;1851;567;1;411
;1;250;568;1;1938;568;1;212
;1;250;569;1;1870;569;1;212
;1;237;570;1;2594;570;1;333
;1;245;571;1;2484;571;1;321
;1;204;572;1;2728;572;1;332
;1;250;573;1;1846;573;1;411
;1;193;574;1;2002;574;1;311
;1;231;575;1;2039;575;1;333
;1;238;576;1;2525;576;1;333
;1;206;577;1;3111;577;1;321
;1;222;578;1;2715;578;1;333
;1;250;579;1;1851;579;1;411
;1;247;580;1;2954;580;1;333
;1;215;581;1;2265;581;1;333
;1;218;582;1;3156;582;1;332
;1;250;583;1;1852;583;1;212
;1;212;584;1;2302;584;1;332
;1;226;585;1;2425;585;1;333
;1;227;586;1;2579;586;1;333
;1;250;587;1;1849;587;1;212
;1;221;588;1;2265;588;1;333
;1;250;589;1;1850;589;1;411
;1;226;590;1;2324;590;1;333
;1;240;591;1;2114;591;1;333
;1;250;592;1;1851;592;1;212
;1;189;593;1;1864;593;1;332
;1;234;594;1;2084;594;1;321
;1;196;595;1;2535;595;1;321
;1;236;596;1;2280;596;1;333
;1;249;597;1;1854;597;1;333
;1;222;598;1;2276;598;1;333
;1;250;599;1;1857;599;1;242
;1;207;600;1;2869;600;1;321
;1;223;601;1;3221;601;1;321
;1;241;602;1;1962;602;1;333
;1;224;603;1;2436;603;1;321
;1;250;604;1;1893;604;1;212
;1;240;605;1;2348;605;1;332
;1;235;606;1;2020;606;1;332
;1;227;607;1;2399;607;1;321
;1;250;608;1;1850;608;1;411
;1;230;609;1;2255;609;1;333
;1;250;610;1;1854;610;1;212
;1;217;611;1;2069;611;1;333
;1;210;612;1;2057;612;1;321
;1;233;613;1;3201;613;1;321
;1;240;614;1;2421;614;1;333
;1;250;615;1;1879;615;1;243
;1;227;616;1;2748;616;1;333
;1;242;617;1;2318;617;1;333
;1;245;618;1;1898;618;1;321
;1;214;619;1;2410;619;1;333
;1;244;620;1;2451;620;1;333
;1;250;621;1;1853;621;1;212
;1;224;622;1;2735;622;1;321
;1;204;623;1;1657;623;1;311
;1;220;624;1;2344;624;1;332
;1;225;625;1;2233;625;1;333
;1;237;626;1;2920;626;1;332
;1;233;627;1;2269;627;1;333
;1;241;628;1;2590;628;1;333
;1;235;629;1;2060;629;1;333
;1;205;630;1;2669;630;1;321
;1;226;631;1;2327;631;1;333
;1;216;632;1;2529;632;1;332
;1;222;633;1;2565;633;1;321
;1;224;634;1;1834;634;1;324
;1;250;635;1;1849;635;1;212
;1;218;636;1;2266;636;1;332
;1;223;637;1;2694;637;1;332
;1;233;638;1;2309;638;1;333
;1;250;639;1;1936;639;1;243
;1;207;640;1;1981;640;1;321
;1;214;641;1;2192;641;1;333
;1;239;642;1;2322;642;1;332
;1;232;643;1;2546;643;1;333
;1;233;644;1;2480;644;1;321
;1;221;645;1;2360;645;1;333
;1;225;646;1;2648;646;1;332
;1;241;647;1;2103;647;1;333
;1;189;648;1;2794;648;1;321
;1;230;649;1;2258;649;1;333
;1;232;650;1;1808;650;1;333
;1;225;651;1;2001;651;1;321
;1;250;652;1;1846;652;1;211
;1;242;653;1;2084;653;1;243
;1;246;654;1;2256;654;1;321
;1;234;655;1;3143;655;1;332
;1;250;656;1;1849;656;1;411
;1;195;657;1;3232;657;1;333
;1;220;658;1;2477;658;1;321
;1;216;659;1;2722;659;1;332
;1;211;660;1;1454;660;1;332
;1;245;661;1;2165;661;1;332
;1;250;662;1;1854;662;1;212
;1;236;663;1;2607;663;1;333
;1;233;664;1;2139;664;1;231
;1;234;665;1;2576;665;1;333
;1;250;666;1;1858;666;1;411
;1;250;667;1;1850;667;1;212
;1;229;668;1;3336;668;1;332
;1;237;669;1;2158;669;1;333
;1;247;670;1;1962;670;1;321
;1;241;671;1;2396;671;1;333
;1;214;672;1;3178;672;1;332
;1;244;673;1;2012;673;1;333
;1;250;674;1;1850;674;1;112
;1;173;675;1;3792;675;1;332
;1;197;676;1;3587;676;1;332
;1;228;677;1;2773;677;1;321
;1;181;678;1;2041;678;1;333
;1;237;679;1;1987;679;1;332
;1;247;680;1;2267;680;1;333
;1;212;681;1;1677;681;1;321
;1;212;682;1;2792;682;1;333
;1;226;683;1;1783;683;1;324
;1;250;684;1;1868;684;1;242
;1;224;685;1;2123;685;1;333
;1;170;686;1;1848;686;1;324
;1;238;687;1;2408;687;1;333
;1;245;688;1;2060;688;1;333
;1;234;689;1;2175;689;1;333
;1;250;690;1;2530;690;1;333
;1;199;691;1;2143;691;1;333
;1;206;692;1;2459;692;1;332
;1;248;693;1;2123;693;1;243
;1;250;694;1;1846;694;1;212
;1;205;695;1;2692;695;1;321
;1;250;696;1;1850;696;1;411
;1;237;697;1;2571;697;1;333
;1;250;698;1;1852;698;1;212
;1;234;699;1;3549;699;1;332
;1;245;700;1;2688;700;1;332
;1;242;701;1;2517;701;1;321
;1;237;702;1;2060;702;1;321
;1;245;703;1;2439;703;1;333
;1;250;704;1;1877;704;1;212
;1;192;705;1;2360;705;1;333
;1;202;706;1;1913;706;1;324
;1;237;707;1;3111;707;1;333
;1;241;708;1;2286;708;1;333
;1;182;709;1;2050;709;1;333
;1;225;710;1;3014;710;1;332
;1;250;711;1;1851;711;1;243
;1;250;712;1;1852;712;1;212
;1;221;713;1;2171;713;1;332
;1;170;714;1;2612;714;1;333
;1;236;715;1;2565;715;1;321
;1;210;716;1;2530;716;1;321
;1;236;717;1;2982;717;1;332
;1;205;718;1;2111;718;1;332
;1;237;719;1;1996;719;1;321
;1;243;720;1;1262;720;1;333
;1;250;721;1;1847;721;1;411
;1;226;722;1;2863;722;1;332
;1;250;723;1;1851;723;1;212
;1;236;724;1;2265;724;1;333
;1;237;725;1;2131;725;1;332
;1;232;726;1;2271;726;1;333
;1;250;727;1;1877;727;1;212
;1;249;728;1;1853;728;1;411
;1;232;729;1;2481;729;1;321
;1;244;730;1;1978;730;1;332
;1;233;731;1;1786;731;1;321
;1;230;732;1;2018;732;1;333
;1;238;733;1;2086;733;1;333
;1;233;734;1;2690;734;1;333
;1;247;735;1;2120;735;1;333
;1;240;736;1;2139;736;1;321
;1;200;737;1;2563;737;1;332
;1;241;738;1;2323;738;1;321
;1;232;739;1;2460;739;1;321
;1;217;740;1;3233;740;1;333
;1;210;741;1;2209;741;1;333
;1;238;742;1;2384;742;1;321
;1;250;743;1;1901;743;1;212
;1;227;744;1;2746;744;1;321
;1;209;745;1;2042;745;1;333
;1;231;746;1;2833;746;1;333
;1;250;747;1;1851;747;1;411
;1;198;748;1;3084;748;1;333
;1;235;749;1;2202;749;1;332
;1;193;750;1;1389;750;1;332
;1;250;751;1;1851;751;1;243
;1;227;752;1;2467;752;1;332
;1;233;753;1;2334;753;1;333
;1;234;754;1;2591;754;1;321
;1;245;755;1;2051;755;1;243
;1;244;756;1;2487;756;1;321
;1;249;757;1;2118;757;1;243
;1;224;758;1;2086;758;1;332
;1;227;759;1;1988;759;1;333
;1;228;760;1;2325;760;1;321
;1;236;761;1;2282;761;1;321
;1;250;762;1;1853;762;1;211
;1;250;763;1;1922;763;1;243
;1;250;764;1;1852;764;1;212
;1;240;765;1;2434;765;1;321
;1;199;766;1;1639;766;1;324
;1;250;767;1;1850;767;1;411
;1;219;768;1;2269;768;1;321
